id,State,Year,Quarter,Transaction_type,Transaction_count,Transaction_amount
259,Andaman & Nicobar Islands,2023,4,Financial Services,3276,7836466.0
260,Andaman & Nicobar Islands,2023,4,Others,3363,2925308.0
261,Andaman & Nicobar Islands,2024,1,Merchant payments,2401038,1887811915.0
262,Andaman & Nicobar Islands,2024,1,Peer-to-peer payments,1436380,4771886847.0
263,Andaman & Nicobar Islands,2024,1,Recharge & bill payments,341224,188939343.0
264,Andaman & Nicobar Islands,2024,1,Financial Services,3761,7962745.0
265,Andaman & Nicobar Islands,2024,1,Others,2517,2550985.0
266,Andaman & Nicobar Islands,2024,2,Merchant payments,2769052,2053269052.0
267,Andaman & Nicobar Islands,2024,2,Peer-to-peer payments,1513157,5033712226.0
268,Andaman & Nicobar Islands,2024,2,Recharge & bill payments,365214,196987648.0
269,Andaman & Nicobar Islands,2024,2,Financial Services,3371,9550750.0
270,Andaman & Nicobar Islands,2024,2,Others,2430,2260654.0
271,Andaman & Nicobar Islands,2024,3,Merchant payments,3158032,2132361939.0
272,Andaman & Nicobar Islands,2024,3,Peer-to-peer payments,1733054,5305660809.0
273,Andaman & Nicobar Islands,2024,3,Recharge & bill payments,382130,213105223.0
274,Andaman & Nicobar Islands,2024,3,Financial Services,4169,10756400.0
275,Andaman & Nicobar Islands,2024,3,Others,1865,1960638.0
276,Andaman & Nicobar Islands,2024,4,Merchant payments,3666060,2546601178.0
277,Andaman & Nicobar Islands,2024,4,Peer-to-peer payments,1993301,6142805445.0
278,Andaman & Nicobar Islands,2024,4,Recharge & bill payments,389318,214912264.0
279,Andaman & Nicobar Islands,2024,4,Financial Services,12889,12789955.0
280,Andaman & Nicobar Islands,2024,4,Others,2332,3835931.0
281,Andhra Pradesh,2018,1,Recharge & bill payments,5027448,892293975.6698562
282,Andhra Pradesh,2018,1,Peer-to-peer payments,3049646,10524250283.178782
283,Andhra Pradesh,2018,1,Merchant payments,362672,247297640.24000686
284,Andhra Pradesh,2018,1,Financial Services,204305,44808449.7639544
285,Andhra Pradesh,2018,1,Others,395514,287626042.970705
286,Andhra Pradesh,2018,2,Recharge & bill payments,6456387,1598591488.4880352
287,Andhra Pradesh,2018,2,Peer-to-peer payments,4745000,20451493098.8953
288,Andhra Pradesh,2018,2,Merchant payments,604847,436785223.86032957
289,Andhra Pradesh,2018,2,Financial Services,225621,68952114.81374599
290,Andhra Pradesh,2018,2,Others,322063,328092346.575651
291,Andhra Pradesh,2018,3,Peer-to-peer payments,16129591,32738630444.668724
292,Andhra Pradesh,2018,3,Recharge & bill payments,7542005,1949098146.8941927
293,Andhra Pradesh,2018,3,Merchant payments,1225416,685277254.5076212
294,Andhra Pradesh,2018,3,Financial Services,380324,60790077.57437308
295,Andhra Pradesh,2018,3,Others,348725,284248675.5700202
296,Andhra Pradesh,2018,4,Peer-to-peer payments,17580086,47011639726.13608
297,Andhra Pradesh,2018,4,Recharge & bill payments,9767083,2418164314.470957
298,Andhra Pradesh,2018,4,Merchant payments,2622131,1671585888.568256
299,Andhra Pradesh,2018,4,Financial Services,400837,57178116.40322068
300,Andhra Pradesh,2018,4,Others,389411,315211361.26249415
301,Andhra Pradesh,2019,1,Peer-to-peer payments,37420988,77524329742.2595
302,Andhra Pradesh,2019,1,Recharge & bill payments,14022264,3480641602.3771377
303,Andhra Pradesh,2019,1,Merchant payments,5043682,2423536770.3706346
304,Andhra Pradesh,2019,1,Financial Services,416325,47150177.52982048
305,Andhra Pradesh,2019,1,Others,361263,284937624.5393019
306,Andhra Pradesh,2019,2,Peer-to-peer payments,32494402,103924649232.47021
307,Andhra Pradesh,2019,2,Recharge & bill payments,14093964,4708345387.9101095
308,Andhra Pradesh,2019,2,Merchant payments,9226537,4613405202.681959
309,Andhra Pradesh,2019,2,Financial Services,145310,26626696.771042537
310,Andhra Pradesh,2019,2,Others,448802,361492238.3966455
311,Andhra Pradesh,2019,3,Peer-to-peer payments,39023491,124338645329.51532
312,Andhra Pradesh,2019,3,Recharge & bill payments,20147629,6893984676.598906
313,Andhra Pradesh,2019,3,Merchant payments,16581787,7887394038.066369
314,Andhra Pradesh,2019,3,Financial Services,122270,29778183.027080443
315,Andhra Pradesh,2019,3,Others,413437,298142027.58625776
316,Andhra Pradesh,2019,4,Peer-to-peer payments,57181511,178893550050.68753
317,Andhra Pradesh,2019,4,Merchant payments,25122370,13476303367.50486
318,Andhra Pradesh,2019,4,Recharge & bill payments,24469888,8335168605.691999
319,Andhra Pradesh,2019,4,Financial Services,105662,26796571.745749153
320,Andhra Pradesh,2019,4,Others,338672,216496893.16102877
321,Andhra Pradesh,2020,1,Peer-to-peer payments,65452143,223088554055.04755
322,Andhra Pradesh,2020,1,Merchant payments,31408022,18603161784.496994
323,Andhra Pradesh,2020,1,Recharge & bill payments,30449644,10813530777.973532
324,Andhra Pradesh,2020,1,Financial Services,75238,43739133.169823855
325,Andhra Pradesh,2020,1,Others,292310,188228538.37489766
326,Andhra Pradesh,2020,2,Peer-to-peer payments,73609921,262731724130.7907
327,Andhra Pradesh,2020,2,Recharge & bill payments,41013987,16991006436.573467
328,Andhra Pradesh,2020,2,Merchant payments,29976765,22625596525.44269
329,Andhra Pradesh,2020,2,Financial Services,140941,145274999.15679634
330,Andhra Pradesh,2020,2,Others,176241,90087654.60009979
331,Andhra Pradesh,2020,3,Peer-to-peer payments,106791894,406461788252.32056
332,Andhra Pradesh,2020,3,Merchant payments,54055557,40739580213.86052
333,Andhra Pradesh,2020,3,Recharge & bill payments,43500067,19475104674.827175
334,Andhra Pradesh,2020,3,Financial Services,243088,256074924.7187529
335,Andhra Pradesh,2020,3,Others,312329,151582519.18136686
336,Andhra Pradesh,2020,4,Peer-to-peer payments,152003791,566639138543.7708
337,Andhra Pradesh,2020,4,Merchant payments,86581460,66654048149.95168
338,Andhra Pradesh,2020,4,Recharge & bill payments,46810304,20936337211.557747
339,Andhra Pradesh,2020,4,Financial Services,265470,305168772.45601684
340,Andhra Pradesh,2020,4,Others,457527,306853355.59473807
341,Andhra Pradesh,2021,1,Peer-to-peer payments,149313738,580542193013.0018
342,Andhra Pradesh,2021,1,Merchant payments,97920281,70813192713.43477
343,Andhra Pradesh,2021,1,Recharge & bill payments,41940689,20546424964.14482
344,Andhra Pradesh,2021,1,Financial Services,225355,270313028.48452014
345,Andhra Pradesh,2021,1,Others,347907,272546457.5502677
346,Andhra Pradesh,2021,2,Peer-to-peer payments,189614879,737004484057.439
347,Andhra Pradesh,2021,2,Merchant payments,112875274,88512429436.91248
348,Andhra Pradesh,2021,2,Recharge & bill payments,49626902,24646800345.106976
349,Andhra Pradesh,2021,2,Financial Services,243237,265483044.40124667
350,Andhra Pradesh,2021,2,Others,406842,308302224.3856007
351,Andhra Pradesh,2021,3,Peer-to-peer payments,221280317,837841124664.307
352,Andhra Pradesh,2021,3,Merchant payments,158290953,118164377968.16754
353,Andhra Pradesh,2021,3,Recharge & bill payments,51702350,27511344958.24361
354,Andhra Pradesh,2021,3,Financial Services,211171,297239697.83073866
355,Andhra Pradesh,2021,3,Others,547759,403948275.56756073
356,Andhra Pradesh,2021,4,Peer-to-peer payments,262006450,971269765249.1282
357,Andhra Pradesh,2021,4,Merchant payments,207538904,152883933596.5386
358,Andhra Pradesh,2021,4,Recharge & bill payments,51762842,31232784713.985794
359,Andhra Pradesh,2021,4,Financial Services,243951,332740108.6635881
360,Andhra Pradesh,2021,4,Others,701856,545223415.6638832
361,Andhra Pradesh,2022,1,Peer-to-peer payments,288488560,1089629182596.4781
362,Andhra Pradesh,2022,1,Merchant payments,242031836,169419685917.19562
363,Andhra Pradesh,2022,1,Recharge & bill payments,51224170,34473036841.83001
364,Andhra Pradesh,2022,1,Financial Services,231651,324358965.11859065
365,Andhra Pradesh,2022,1,Others,627694,474382234.25397474
366,Andhra Pradesh,2022,2,Peer-to-peer payments,321362337,1231408926513.7114
367,Andhra Pradesh,2022,2,Merchant payments,292530048,205433660654.20898
368,Andhra Pradesh,2022,2,Recharge & bill payments,56606969,42408541939.06145
369,Andhra Pradesh,2022,2,Financial Services,192751,245783011.04455262
370,Andhra Pradesh,2022,2,Others,441925,357036084.9071137
371,Andhra Pradesh,2022,3,Peer-to-peer payments,298804000,1140164525892.7397
372,Andhra Pradesh,2022,3,Merchant payments,291033653,202910820650.0824
373,Andhra Pradesh,2022,3,Recharge & bill payments,52467708,41438764826.20322
374,Andhra Pradesh,2022,3,Financial Services,187190,239347241.54655045
375,Andhra Pradesh,2022,3,Others,362484,323951101.5715289
376,Andhra Pradesh,2022,4,Merchant payments,321632104,211898851397.09848
377,Andhra Pradesh,2022,4,Peer-to-peer payments,315734006,1170249585983.0112
378,Andhra Pradesh,2022,4,Recharge & bill payments,52098850,41986837706.47902
379,Andhra Pradesh,2022,4,Financial Services,206459,250596592.06465048
380,Andhra Pradesh,2022,4,Others,345658,339211363.0027188
381,Andhra Pradesh,2023,1,Merchant payments,540680395,311606731877.0
382,Andhra Pradesh,2023,1,Peer-to-peer payments,514931308,1857818168755.0
383,Andhra Pradesh,2023,1,Recharge & bill payments,89143939,78817989795.0
384,Andhra Pradesh,2023,1,Financial Services,288150,331233097.0
385,Andhra Pradesh,2023,1,Others,488672,477193006.0
386,Andhra Pradesh,2023,2,Merchant payments,634303064,349602824539.0
387,Andhra Pradesh,2023,2,Peer-to-peer payments,573455382,2067288068882.0
388,Andhra Pradesh,2023,2,Recharge & bill payments,97202487,88352183038.0
389,Andhra Pradesh,2023,2,Financial Services,316533,386071375.0
390,Andhra Pradesh,2023,2,Others,379498,409939082.0
391,Andhra Pradesh,2023,3,Merchant payments,750265405,395042164275.0
392,Andhra Pradesh,2023,3,Peer-to-peer payments,623202203,2163464730936.0
393,Andhra Pradesh,2023,3,Recharge & bill payments,101000645,94077774967.0
394,Andhra Pradesh,2023,3,Financial Services,361584,466791218.0
395,Andhra Pradesh,2023,3,Others,334566,362636702.0
396,Andhra Pradesh,2023,4,Merchant payments,822516631,427677236042.0
397,Andhra Pradesh,2023,4,Peer-to-peer payments,673002314,2270766948881.0
398,Andhra Pradesh,2023,4,Recharge & bill payments,100733697,103186953776.0
399,Andhra Pradesh,2023,4,Financial Services,431705,535202901.0
400,Andhra Pradesh,2023,4,Others,303079,348636223.0
401,Andhra Pradesh,2024,1,Merchant payments,926373997,468462542792.0
