id,State,Year,Quarter,Entity_type,Entity_name,Registered_users
498,India,2022,1,District,rangareddy,3722676
499,India,2022,1,District,north twenty four parganas,3224459
500,India,2022,1,District,surat,3210535
501,India,2022,1,Pincode,201301,698600
502,India,2022,1,Pincode,110059,588266
503,India,2022,1,Pincode,560068,545827
504,India,2022,1,Pincode,421302,518716
505,India,2022,1,Pincode,500072,476073
506,India,2022,1,Pincode,122001,465984
507,India,2022,1,Pincode,110092,460951
508,India,2022,1,Pincode,110086,406863
509,India,2022,1,Pincode,121004,400283
510,India,2022,1,Pincode,560078,388154
511,India,2022,2,State,maharashtra,50802786
512,India,2022,2,State,uttar pradesh,41247289
513,India,2022,2,State,karnataka,32831447
514,India,2022,2,State,andhra pradesh,25157264
515,India,2022,2,State,rajasthan,24716181
516,India,2022,2,State,telangana,23314363
517,India,2022,2,State,west bengal,23124388
518,India,2022,2,State,tamil nadu,22829720
519,India,2022,2,State,madhya pradesh,20766417
520,India,2022,2,State,gujarat,20321596
521,India,2022,2,District,bengaluru urban,13342916
522,India,2022,2,District,pune,8757249
523,India,2022,2,District,thane,5471749
524,India,2022,2,District,jaipur,5409763
525,India,2022,2,District,mumbai suburban,5281053
526,India,2022,2,District,hyderabad,4519625
527,India,2022,2,District,ahmadabad,4105172
528,India,2022,2,District,rangareddy,3911372
529,India,2022,2,District,north twenty four parganas,3397791
530,India,2022,2,District,surat,3385398
531,India,2022,2,Pincode,201301,735907
532,India,2022,2,Pincode,110059,619737
533,India,2022,2,Pincode,560068,573310
534,India,2022,2,Pincode,421302,547501
535,India,2022,2,Pincode,500072,499269
536,India,2022,2,Pincode,122001,490709
537,India,2022,2,Pincode,110092,484816
538,India,2022,2,Pincode,110086,429566
539,India,2022,2,Pincode,121004,422488
540,India,2022,2,Pincode,560078,407066
541,India,2022,3,State,maharashtra,53432602
542,India,2022,3,State,uttar pradesh,43537920
543,India,2022,3,State,karnataka,34493994
544,India,2022,3,State,andhra pradesh,26496330
545,India,2022,3,State,rajasthan,26042948
546,India,2022,3,State,telangana,24506111
547,India,2022,3,State,west bengal,24372048
548,India,2022,3,State,tamil nadu,24019964
549,India,2022,3,State,madhya pradesh,21884220
550,India,2022,3,State,gujarat,21394721
551,India,2022,3,District,bengaluru urban,13997602
552,India,2022,3,District,pune,9194074
553,India,2022,3,District,thane,5757165
554,India,2022,3,District,jaipur,5696726
555,India,2022,3,District,mumbai suburban,5555095
556,India,2022,3,District,hyderabad,4739891
557,India,2022,3,District,ahmadabad,4319512
558,India,2022,3,District,rangareddy,4105107
559,India,2022,3,District,north twenty four parganas,3578500
560,India,2022,3,District,surat,3567767
561,India,2022,3,Pincode,201301,774591
562,India,2022,3,Pincode,110059,652328
563,India,2022,3,Pincode,560068,601656
564,India,2022,3,Pincode,421302,577754
565,India,2022,3,Pincode,500072,523196
566,India,2022,3,Pincode,122001,516313
567,India,2022,3,Pincode,110092,509260
568,India,2022,3,Pincode,110086,453393
569,India,2022,3,Pincode,121004,445822
570,India,2022,3,Pincode,201009,428994
571,India,2022,4,State,maharashtra,55954028
572,India,2022,4,State,uttar pradesh,45648650
573,India,2022,4,State,karnataka,36081698
574,India,2022,4,State,andhra pradesh,27778016
575,India,2022,4,State,rajasthan,27255927
576,India,2022,4,State,telangana,25656381
577,India,2022,4,State,west bengal,25536381
578,India,2022,4,State,tamil nadu,25136112
579,India,2022,4,State,madhya pradesh,22913924
580,India,2022,4,State,gujarat,22412353
581,India,2022,4,District,bengaluru urban,14654455
582,India,2022,4,District,pune,9622338
583,India,2022,4,District,thane,6042267
584,India,2022,4,District,jaipur,5975863
585,India,2022,4,District,mumbai suburban,5831539
586,India,2022,4,District,hyderabad,4962214
587,India,2022,4,District,ahmadabad,4530853
588,India,2022,4,District,rangareddy,4296707
589,India,2022,4,District,north twenty four parganas,3755017
590,India,2022,4,District,surat,3747780
591,India,2022,4,Pincode,201301,814008
592,India,2022,4,Pincode,110059,685596
593,India,2022,4,Pincode,560068,630255
594,India,2022,4,Pincode,421302,608005
595,India,2022,4,Pincode,500072,547282
596,India,2022,4,Pincode,122001,542209
597,India,2022,4,Pincode,110092,534009
598,India,2022,4,Pincode,110086,477514
599,India,2022,4,Pincode,121004,468607
600,India,2022,4,Pincode,201009,451153
601,India,2023,1,State,maharashtra,58470784
602,India,2023,1,State,uttar pradesh,47806049
603,India,2023,1,State,karnataka,37681426
604,India,2023,1,State,andhra pradesh,29065863
605,India,2023,1,State,rajasthan,28523031
606,India,2023,1,State,telangana,26804259
607,India,2023,1,State,west bengal,26732895
608,India,2023,1,State,tamil nadu,26270663
609,India,2023,1,State,madhya pradesh,24002818
610,India,2023,1,State,gujarat,23436230
611,India,2023,1,District,bengaluru urban,15290372
612,India,2023,1,District,pune,10037022
613,India,2023,1,District,thane,6314618
614,India,2023,1,District,jaipur,6247095
615,India,2023,1,District,mumbai suburban,6095695
616,India,2023,1,District,hyderabad,5176899
617,India,2023,1,District,ahmadabad,4734630
618,India,2023,1,District,rangareddy,4483193
619,India,2023,1,District,north twenty four parganas,3926974
620,India,2023,1,District,surat,3919829
621,India,2023,1,Pincode,201301,851451
622,India,2023,1,Pincode,110059,716856
623,India,2023,1,Pincode,560068,658173
624,India,2023,1,Pincode,421302,636458
625,India,2023,1,Pincode,500072,570652
626,India,2023,1,Pincode,122001,566889
627,India,2023,1,Pincode,110092,557488
628,India,2023,1,Pincode,110086,500213
629,India,2023,1,Pincode,121004,490243
630,India,2023,1,Pincode,201009,472156
631,India,2023,2,State,maharashtra,60766850
632,India,2023,2,State,uttar pradesh,49829833
633,India,2023,2,State,karnataka,39122314
634,India,2023,2,State,andhra pradesh,30240061
635,India,2023,2,State,rajasthan,29745609
636,India,2023,2,State,west bengal,27827662
637,India,2023,2,State,telangana,27814633
638,India,2023,2,State,tamil nadu,27317599
639,India,2023,2,State,madhya pradesh,25042930
640,India,2023,2,State,gujarat,24396768
641,India,2023,2,District,bengaluru urban,15812243
642,India,2023,2,District,pune,10396344
643,India,2023,2,District,thane,6552282
644,India,2023,2,District,jaipur,6490210
645,India,2023,2,District,mumbai suburban,6322778
646,India,2023,2,District,hyderabad,5349842
647,India,2023,2,District,ahmadabad,4913610
648,India,2023,2,District,rangareddy,4638501
649,India,2023,2,District,north twenty four parganas,4079270
650,India,2023,2,District,surat,4076929
651,India,2023,2,Pincode,201301,883262
652,India,2023,2,Pincode,110059,744061
653,India,2023,2,Pincode,560068,680831
654,India,2023,2,Pincode,421302,662196
655,India,2023,2,Pincode,500072,589156
656,India,2023,2,Pincode,122001,587988
657,India,2023,2,Pincode,110092,577301
658,India,2023,2,Pincode,110086,520976
659,India,2023,2,Pincode,121004,509776
660,India,2023,2,Pincode,201009,490549
661,India,2023,3,State,maharashtra,63150997
662,India,2023,3,State,uttar pradesh,51870932
663,India,2023,3,State,karnataka,40634390
664,India,2023,3,State,andhra pradesh,31493897
665,India,2023,3,State,rajasthan,30997182
666,India,2023,3,State,west bengal,28966414
667,India,2023,3,State,telangana,28896668
668,India,2023,3,State,tamil nadu,28405436
